Year,Cons_pc_Beer,Cons_pc_Wine,Cons_pc_Spirits,Cons_pc_Alkohol,Exp_pc_Beer ,Exp_pc_Wine ,Exp_pc_Spirits ,Exp_pc_Alkohol ,Exp_pc_Total ,Exp_pc_Residual ,Prices_Beer,Prices_Wine,Prices_Spirits,Prices_Alcohol,CPI_Beer,CPI_Wine,CPI_Spirits,CPI_Alcohol,CPI_AllGoods,Population ('000),Real GDPPC,Cond_Bugdget_Shares_Beer,Cond_Bugdget_Shares_Wine,Cond_Bugdget_Shares_Spirits,Uncond_Bugdget_Shares_Beer,Uncond_Bugdget_Shares_Wine,Uncond_Bugdget_Shares_Spirits,Uncond_Bugdget_Shares_Alcohol,Volume_Shares_Beer,Volume_Shares_Wine,Volume_Shares_Spirits,Exchange_Rate,Expenditure_pc_USD_Beer ,Expenditure_pc_USD_Wine ,Expenditure_pc_USD_Spirits ,Expenditure_pc_USD_Alcohol ,Expenditure_pc_USD_Total ,Expenditure_pc_USD_Residuals ,Price_USD_Beer,Price_USD_Wine,Price_USD_Spirits,Price_USD_Alcohol,Country
2014,3.19,1.68,1.68,6.55,247.65,149.72,114.91,512.28,31097.83,30585.54,77.62,89.16,68.43,11.68,100.00,100.00,100.00,,100.00,35587.79,26132.77,0.48,0.29,0.22,0.01,0.00,0.00,0.02,0.49,0.26,0.26,1.11,224.12,135.49,103.99,463.60,28142.83,27679.22,70.24,80.69,61.93,10.57,Canada
1970,1.34,,,,,,,,,,,,,,,,,,,4205.39,5463.64,,,,,,,,,,,, , , , , , , , , , ,Croatia
1971,1.39,,,,,,,,,,,,,,,,,,,4215.87,5878.22,,,,,,,,,,,, , , , , , , , , , ,Croatia
1972,1.44,,,,,,,,,,,,,,,,,,,4225.31,6013.53,,,,,,,,,,,, , , , , , , , , , ,Croatia
1973,1.49,,,,,,,,,,,,,,,,,,,4234.66,6224.39,,,,,,,,,,,, , , , , , , , , , ,Croatia
1974,1.54,,,,,,,,,,,,,,,,,,,4245.82,6735.12,,,,,,,,,,,, , , , , , , , , , ,Croatia
1975,1.59,,,,,,,,,,,,,,,,,,,4255.00,6900.65,,,,,,,,,,,, , , , , , , , , , ,Croatia
1976,1.63,,,,,,,,,,,,,,,,,,,4286.31,7160.96,,,,,,,,,,,, , , , , , , , , , ,Croatia
1977,1.67,,,,,,,,,,,,,,,,,,,4318.67,7732.70,,,,,,,,,,,, , , , , , , , , , ,Croatia
1978,1.71,,,,,,,,,,,,,,,,,,,4349.24,8281.94,,,,,,,,,,,, , , , , , , , , , ,Croatia
1979,1.75,,,,,,,,,,,,,,,,,,,4379.91,8737.47,,,,,,,,,,,, , , , , , , , , , ,Croatia
1980,1.85,,,,,,,,,,,,,,,,,,,4383.00,8861.42,,,,,,,,,,,, , , , , , , , , , ,Croatia
1981,1.95,,,,,,,,,,,,,,,,,,,4390.83,8921.52,,,,,,,,,,,, , , , , , , , , , ,Croatia
1982,2.04,,,,,,,,,,,,,,,,,,,4413.37,8847.37,,,,,,,,,,,, , , , , , , , , , ,Croatia
1983,2.13,,,,,,,,,,,,,,,,,,,4430.94,8662.32,,,,,,,,,,,, , , , , , , , , , ,Croatia
1984,2.23,,,,,,,,,,,,,,,,,,,4441.85,8821.06,,,,,,,,,,,, , , , , , , , , , ,Croatia
1985,2.32,,,,,,,,,,,,,,,,,,,4457.87,8811.93,,,,,,,,,,,, , , , , , , , , , ,Croatia
1986,2.42,,,,,,,,,,,,,,,,,,,4471.75,9036.54,,,,,,,,,,,, , , , , , , , , , ,Croatia
1987,2.60,5.23,2.91,10.73,,,,,,,,,,,,,,,,4484.31,9016.36,,,,,,,,0.24,0.49,0.27,, , , , , , , , , , ,Croatia
1988,2.49,4.01,2.32,8.82,,,,,,,,,,,,,,,,4493.68,8917.03,,,,,,,,0.28,0.45,0.26,, , , , , , , , , , ,Croatia
1989,2.29,4.08,2.36,8.73,,,,,,,,,,,,,,,,4501.40,8743.66,,,,,,,,0.26,0.47,0.27,, , , , , , , , , , ,Croatia
1990,3.13,6.10,3.53,12.75,,,,,,,,,,,,,,,,4508.35,8122.86,,,,,,,,0.25,0.48,0.28,, , , , , , , , , , ,Croatia
1991,2.55,4.93,3.53,11.02,,,,,,,,,,,,,,,,4540.64,6792.17,,,,,,,,0.23,0.45,0.32,, , , , , , , , , , ,Croatia
1992,2.82,5.09,1.36,9.26,,,,,,,,,,,,,,,,4494.01,6051.39,,,,,,,,0.30,0.55,0.15,0.26,,,,,,,,,,,Croatia
1993,2.67,4.86,1.60,9.12,,,,,,,,,,,,,,,25.93,4486.07,5363.52,,,,,,,,0.29,0.53,0.17,3.58,,,,,,,,,,,Croatia
1994,3.32,4.31,1.80,9.44,,,,,,,,,,,,,,,53.75,4511.19,5667.41,,,,,,,,0.35,0.46,0.19,6.00,,,,,,,,,,,Croatia
1995,3.38,4.04,1.48,8.90,,,,,17317.86,17317.86,,,,,,,,,55.87,4496.68,6027.08,,,,,,,,0.38,0.45,0.17,5.23,,,,,3310.78,3310.78,,,,,Croatia
1996,3.36,4.42,1.31,9.09,,,,,18426.44,18426.44,,,,,,,,,58.28,4464.03,6638.44,,,,,,,,0.37,0.49,0.14,5.43,,,,,3390.85,3390.85,,,,,Croatia
1997,3.63,5.59,1.63,10.85,,,,,21668.16,21668.16,,,,,,,,,60.71,4444.60,6965.93,,,,,,,,0.33,0.52,0.15,6.16,,,,,3517.23,3517.23,,,,,Croatia
1998,3.60,5.58,2.21,11.39,,,,,22879.66,22879.66,,,,,,,,,64.59,4420.20,7252.66,,,,,,,,0.32,0.49,0.19,6.36,,,,,3595.57,3595.57,,,,,Croatia
1999,3.76,5.42,0.84,10.02,,,,,23118.17,23118.17,,,,,,,,,67.19,4408.38,7111.08,,,,,,,,0.38,0.54,0.08,7.11,,,,,3250.70,3250.70,,,,,Croatia
2000,4.20,4.81,1.48,10.49,,,,,25155.82,25155.82,,,,,,,,,70.29,4410.83,7391.37,,,,,,,,0.40,0.46,0.14,8.28,,,,,3039.00,3039.00,,,,,Croatia
2001,4.31,5.05,1.51,10.86,,,,,27232.39,27232.39,,,,,,,,,72.94,4439.11,7827.55,,,,,,,,0.40,0.46,0.14,8.34,,,,,3264.67,3264.67,,,,,Croatia
2002,4.15,5.47,1.50,11.12,,,,,29803.22,29803.22,,,,,,,,,74.16,4481.02,8259.43,,,,,,,,0.37,0.49,0.13,7.87,,,,,3786.13,3786.13,,,,,Croatia
2003,4.28,5.70,1.52,11.51,,,,,31554.71,31554.71,,,,,,,,,75.46,4497.78,8702.76,,,,,,,,0.37,0.50,0.13,6.70,,,,,4706.17,4706.17,,,,,Croatia
2004,4.15,5.46,1.10,10.72,425.80,335.89,188.00,949.69,33513.74,32564.06,102.55,61.48,170.75,88.62,66.87,74.52,79.60,73.59,77.01,4496.87,9071.72,0.45,0.35,0.20,0.01,0.01,0.01,0.03,0.39,0.51,0.10,6.03,70.56,55.66,31.16,157.38,5553.84,5396.46,16.99,10.19,28.30,14.69,Croatia
2005,4.09,4.30,1.07,9.45,430.77,273.48,183.67,887.91,35991.87,35103.96,105.40,63.63,171.62,93.91,68.73,77.13,80.00,73.59,79.56,4495.90,9460.70,0.49,0.31,0.21,0.01,0.01,0.01,0.02,0.43,0.45,0.11,5.95,72.41,45.97,30.87,149.25,6049.83,5900.58,17.72,10.70,28.85,15.79,Croatia
2006,4.22,4.39,1.07,9.68,466.81,301.33,190.48,958.62,38431.46,37472.84,110.63,68.66,177.38,99.01,72.15,83.23,82.69,77.18,82.12,4494.75,9915.47,0.49,0.31,0.20,0.01,0.01,0.00,0.02,0.44,0.45,0.11,5.84,79.96,51.62,32.63,164.21,6583.22,6419.01,18.95,11.76,30.38,16.96,Croatia
2007,4.34,4.90,1.05,10.29,497.16,339.55,193.10,1029.80,42054.31,41024.51,114.55,69.31,184.06,100.10,74.70,84.02,85.80,79.37,84.47,4493.31,10473.20,0.48,0.33,0.19,0.01,0.01,0.00,0.02,0.42,0.48,0.10,5.36,92.67,63.29,35.99,191.96,7839.32,7647.36,21.35,12.92,34.31,18.66,Croatia
2008,4.23,4.56,1.05,9.85,511.95,333.51,198.64,1044.10,45006.89,43962.78,120.90,73.07,189.54,106.04,78.84,88.58,88.36,83.28,89.62,4491.54,10724.56,0.49,0.32,0.19,0.01,0.01,0.00,0.02,0.43,0.46,0.11,4.94,103.74,67.58,40.25,211.57,9119.86,8908.29,24.50,14.81,38.41,21.49,Croatia
2009,4.00,4.93,1.04,9.97,500.43,374.43,197.90,1072.76,43058.04,41985.28,125.26,75.91,190.50,107.64,81.68,92.01,88.80,87.02,91.76,4489.00,9984.23,0.47,0.35,0.18,0.01,0.01,0.00,0.02,0.40,0.49,0.10,5.28,94.71,70.86,37.45,203.02,8148.84,7945.82,23.71,14.37,36.05,20.37,Croatia
2010,3.77,5.11,1.01,9.89,481.29,398.70,193.93,1073.92,43769.08,42695.17,127.68,77.97,192.81,108.60,83.26,94.51,89.88,88.99,92.71,4417.78,9849.49,0.45,0.37,0.18,0.01,0.01,0.00,0.02,0.38,0.52,0.10,5.50,87.54,72.52,35.27,195.33,7960.89,7765.57,23.22,14.18,35.07,19.75,Croatia
2011,3.97,4.98,1.01,9.96,534.09,396.22,199.59,1129.90,46397.61,45267.71,134.50,79.62,196.87,113.43,87.71,96.51,91.77,91.35,94.80,4280.62,10136.50,0.47,0.35,0.18,0.01,0.01,0.00,0.02,0.40,0.50,0.10,5.34,99.94,74.14,37.35,211.44,8682.40,8470.96,25.17,14.90,36.84,21.23,Croatia
2012,3.83,4.54,1.05,9.42,536.82,372.54,208.82,1118.18,46584.39,45466.21,140.04,82.14,199.01,118.73,91.32,99.56,92.77,94.19,98.05,4267.56,9945.12,0.48,0.33,0.19,0.01,0.01,0.00,0.02,0.41,0.48,0.11,5.85,91.76,63.68,35.69,191.13,7962.75,7771.61,23.94,14.04,34.02,20.29,Croatia
2013,3.89,5.25,1.08,10.22,571.39,430.84,223.24,1225.47,46776.75,45551.28,146.73,82.04,207.19,119.87,95.68,99.44,96.58,97.90,100.21,4252.70,9873.69,0.47,0.35,0.18,0.01,0.01,0.00,0.03,0.38,0.51,0.11,5.70,100.16,75.52,39.13,214.81,8199.43,7984.62,25.72,14.38,36.32,21.01,Croatia
2014,3.60,5.31,1.11,10.02,1599.12,5141.82,836.13,7577.07,46249.29,38672.22,444.62,967.58,750.68,755.85,100.00,100.00,100.00,100.00,100.00,4255.85,9830.81,0.21,0.68,0.11,0.03,0.11,0.02,0.16,0.36,0.53,0.11,5.75,278.20,894.51,145.46,1318.17,8045.92,6727.75,77.35,168.33,130.59,131.49,Croatia
1970,5.42,0.65,1.27,7.35,,,,,14506.37,14506.37,,,,,25.84,,,,13.66,4928.76,12685.55,,,,,,,,0.74,0.09,0.17,7.50,,,,,1934.29,1934.29,,,,,Denmark
1971,5.07,0.74,1.41,7.22,,,,,15539.74,15539.74,,,,,27.25,,,,14.46,4963.13,12933.58,,,,,,,,0.70,0.10,0.20,7.40,,,,,2099.11,2099.11,,,,,Denmark
1972,5.41,0.82,1.54,7.77,,,,,16773.41,16773.41,,,,,29.01,,,,15.41,4991.60,13538.36,,,,,,,,0.70,0.11,0.20,6.95,,,,,2412.68,2412.68,,,,,Denmark
1973,5.68,1.18,1.53,8.39,,,,,19618.10,19618.10,,,,,31.23,,,,16.84,5021.86,13945.43,,,,,,,,0.68,0.14,0.18,6.02,,,,,3257.20,3257.20,,,,,Denmark
1974,5.60,1.07,1.58,8.24,,,,,21814.22,21814.22,,,,,35.59,,,,19.41,5045.30,13751.22,,,,,,,,0.68,0.13,0.19,6.08,,,,,3586.69,3586.69,,,,,Denmark
1975,5.88,1.26,1.74,8.88,,,,,24843.78,24843.78,,,,,40.56,,,,21.28,5059.86,13621.13,,,,,,,,0.66,0.14,0.20,5.73,,,,,4332.03,4332.03,,,,,Denmark
1976,5.94,1.37,1.88,9.20,,,,,29315.05,29315.05,,,,,44.48,,,,23.19,5072.60,14466.36,,,,,,,,0.65,0.15,0.20,6.04,,,,,4850.43,4850.43,,,,,Denmark
1977,5.82,1.29,1.81,8.91,,,,,32513.60,32513.60,,,,,49.58,,,,25.78,5088.42,14655.44,,,,,,,,0.65,0.14,0.20,6.00,,,,,5416.13,5416.13,,,,,Denmark
1978,5.86,1.34,1.35,8.55,,,,,35637.78,35637.78,,,,,52.56,,,,28.36,5104.25,14825.69,,,,,,,,0.69,0.16,0.16,5.51,,,,,6470.42,6470.42,,,,,Denmark
1979,6.02,1.53,1.43,8.98,,,,,39484.15,39484.15,,,,,54.83,,,,31.08,5116.80,15313.48,,,,,,,,0.67,0.17,0.16,5.26,,,,,7503.35,7503.35,,,,,Denmark
1980,6.08,1.54,1.48,9.11,,,,,42095.03,42095.03,,,,,54.74,42.75,,,34.91,5123.03,15227.33,,,,,,,,0.67,0.17,0.16,5.63,,,,,7470.94,7470.94,,,,,Denmark
1981,6.26,1.77,1.60,9.63,,,,,46342.58,46342.58,,,,,60.63,46.38,,,39.02,5121.57,15096.15,,,,,,,,0.65,0.18,0.17,7.14,,,,,6495.11,6495.11,,,,,Denmark
1982,6.44,1.92,1.64,9.99,,,,,51907.79,51907.79,,,,,64.23,50.43,,,42.96,5117.81,15563.30,,,,,,,,0.64,0.19,0.16,8.34,,,,,6220.75,6220.75,,,,,Denmark
1983,6.70,2.08,1.55,10.33,,,,,56495.10,56495.10,,,,,71.09,55.72,,,45.93,5114.30,15966.22,,,,,,,,0.65,0.20,0.15,9.15,,,,,6175.48,6175.48,,,,,Denmark
1984,6.49,2.08,1.49,10.06,,,,,62766.80,62766.80,,,,,78.80,57.05,,,48.83,5111.62,16675.93,,,,,,,,0.65,0.21,0.15,10.35,,,,,6062.08,6062.08,,,,,Denmark
1985,6.07,2.28,1.61,9.96,,,,,67936.47,67936.47,,,,,82.98,54.30,,,51.10,5113.69,17384.12,,,,,,,,0.61,0.23,0.16,10.60,,,,,6410.31,6410.31,,,,,Denmark
1986,6.29,2.18,1.58,10.06,,,,,73635.88,73635.88,,,,,83.91,57.75,,,53.01,5120.53,17993.24,,,,,,,,0.63,0.22,0.16,8.10,,,,,9095.90,9095.90,,,,,Denmark
1987,5.91,2.26,1.50,9.67,,,,,75252.10,75252.10,,,,,83.27,64.00,,,55.12,5127.02,18023.32,,,,,,,,0.61,0.23,0.16,6.85,,,,,10989.24,10989.24,,,,,Denmark
1988,6.01,2.38,1.45,9.83,,,,,77067.25,77067.25,,,,,84.55,74.28,,,57.63,5129.52,18224.33,,,,,,,,0.61,0.24,0.15,6.74,,,,,11432.28,11432.28,,,,,Denmark
1989,6.17,2.11,1.37,9.65,,,,,80738.49,80738.49,,,,,86.15,76.60,,,60.38,5132.59,18261.33,,,,,,,,0.64,0.22,0.14,7.32,,,,,11028.34,11028.34,,,,,Denmark
1990,6.18,2.34,1.31,9.83,,,,,82658.11,82658.11,,,,,86.35,80.04,,,61.98,5140.95,18452.43,,,,,,,,0.63,0.24,0.13,6.19,,,,,13353.71,13353.71,,,,,Denmark
1991,6.02,2.42,1.32,9.76,,,,,86158.82,86158.82,,,,,86.97,79.85,,,63.45,5154.35,18643.79,,,,,,,,0.62,0.25,0.14,6.40,,,,,13454.33,13454.33,,,,,Denmark
1992,6.05,2.67,1.19,9.90,,,,,89115.91,89115.91,,,,,83.61,79.57,,,64.79,5171.39,18949.44,,,,,,,,0.61,0.27,0.12,6.04,,,,,14761.13,14761.13,,,,,Denmark
1993,6.01,2.77,1.08,9.86,,,,,89334.21,89334.21,,,,,78.23,73.83,,,65.60,5188.39,18870.43,,,,,,,,0.61,0.28,0.11,6.49,,,,,13772.75,13772.75,,,,,Denmark
1994,6.08,2.88,1.09,10.05,,,,,97249.55,97249.55,,,,,77.77,74.58,,,66.90,5205.60,19847.27,,,,,,,,0.60,0.29,0.11,6.36,,,,,15300.19,15300.19,,,,,Denmark
1995,6.01,3.04,1.00,10.05,,,,,100134.50,100134.50,,,,,78.25,75.81,,,68.31,5232.61,20350.03,,,,,,,,0.60,0.30,0.10,5.60,,,,,17881.48,17881.48,,,,,Denmark
1996,5.88,3.12,1.11,10.11,689.98,197.27,292.95,1180.19,103729.61,102549.42,117.25,63.32,263.29,116.70,76.46,76.75,122.74,80.88,69.75,5262.08,20809.66,0.58,0.17,0.25,0.01,0.00,0.00,0.01,0.58,0.31,0.11,5.80,118.96,34.01,50.51,203.47,17883.49,17680.02,20.21,10.92,45.39,20.12,Denmark
1997,5.69,3.23,1.11,10.03,690.64,204.53,289.27,1184.44,108332.99,107148.55,121.43,63.32,260.70,118.12,79.18,76.75,121.53,82.28,71.28,5283.66,21387.54,0.58,0.17,0.24,0.01,0.00,0.00,0.01,0.57,0.32,0.11,6.61,104.50,30.95,43.77,179.21,16391.24,16212.03,18.37,9.58,39.44,17.87,Denmark
1998,5.25,3.20,1.12,9.58,645.77,206.14,296.12,1148.03,112144.28,110996.25,122.92,64.32,263.72,119.82,80.16,77.97,122.94,83.38,72.60,5302.77,21770.87,0.56,0.18,0.26,0.01,0.00,0.00,0.01,0.55,0.33,0.12,6.70,96.34,30.75,44.18,171.27,16730.46,16559.19,18.34,9.60,39.34,17.88,Denmark
1999,5.10,3.28,1.12,9.50,636.81,217.97,299.17,1153.94,113756.35,112602.40,124.86,66.50,267.17,121.50,81.42,80.61,124.55,85.29,74.40,5320.13,22255.44,0.55,0.19,0.26,0.01,0.00,0.00,0.01,0.54,0.35,0.12,6.99,91.10,31.18,42.80,165.09,16274.16,16109.07,17.86,9.51,38.22,17.38,Denmark
2000,4.70,3.69,1.15,9.54,610.88,249.95,307.89,1168.72,117004.00,115835.28,130.08,67.67,267.82,122.52,84.82,82.03,124.85,87.59,76.58,5337.42,22966.12,0.52,0.21,0.26,0.01,0.00,0.00,0.01,0.49,0.39,0.12,8.08,75.57,30.92,38.09,144.59,14475.06,14330.47,16.09,8.37,33.13,15.16,Denmark
2001,4.54,3.75,1.13,9.41,583.30,257.92,306.35,1147.58,119614.23,118466.65,128.59,68.85,270.62,121.89,83.85,83.45,126.16,87.79,78.38,5355.83,23048.49,0.51,0.22,0.27,0.00,0.00,0.00,0.01,0.48,0.40,0.12,8.32,70.08,30.99,36.81,137.88,14371.84,14233.96,15.45,8.27,32.52,14.65,Denmark
2002,4.46,3.60,1.16,9.22,556.58,249.91,314.34,1120.83,123155.69,122034.86,124.86,69.35,272.13,121.61,81.42,84.06,126.86,86.79,80.28,5374.69,23074.61,0.50,0.22,0.28,0.00,0.00,0.00,0.01,0.48,0.39,0.13,7.89,70.50,31.66,39.82,141.97,15599.77,15457.79,15.82,8.78,34.47,15.40,Denmark
2003,4.45,3.63,1.30,9.38,553.06,251.63,331.41,1136.11,125839.38,124703.28,124.41,69.27,254.87,121.14,81.13,83.96,118.81,85.79,81.96,5394.14,23079.65,0.49,0.22,0.29,0.00,0.00,0.00,0.01,0.47,0.39,0.14,6.58,84.09,38.26,50.39,172.74,19133.24,18960.51,18.92,10.53,38.75,18.42,Denmark
2004,4.14,3.51,1.50,9.16,512.38,242.51,294.19,1049.09,132772.39,131723.30,123.66,69.10,195.74,114.58,80.64,83.76,91.25,82.88,82.91,5413.39,23525.72,0.49,0.23,0.28,0.00,0.00,0.00,0.01,0.45,0.38,0.16,5.99,85.57,40.50,49.13,175.21,22174.70,21999.49,20.65,11.54,32.69,19.14,Denmark
2005,4.11,3.61,1.45,9.17,499.31,246.30,281.89,1027.51,139519.93,138492.42,121.43,68.26,194.87,112.09,79.18,82.74,90.85,81.68,84.41,5432.34,24016.89,0.49,0.24,0.27,0.00,0.00,0.00,0.01,0.45,0.39,0.16,6.00,83.27,41.08,47.01,171.36,23268.47,23097.11,20.25,11.38,32.50,18.69,Denmark
2006,4.00,3.53,1.37,8.91,487.23,242.21,268.53,997.97,146294.00,145296.03,121.72,68.60,195.31,112.02,79.38,83.15,91.05,82.08,86.01,5450.66,24748.73,0.49,0.24,0.27,0.00,0.00,0.00,0.01,0.45,0.40,0.15,5.94,81.98,40.75,45.18,167.92,24616.14,24448.22,20.48,11.54,32.86,18.85,Denmark
2007,3.89,3.59,1.42,8.90,482.40,249.81,282.42,1014.63,150982.79,149968.16,124.11,69.52,199.19,114.03,80.93,84.26,92.86,83.38,87.48,5468.12,25060.29,0.48,0.25,0.28,0.00,0.00,0.00,0.01,0.44,0.40,0.16,5.44,88.63,45.90,51.89,186.42,27740.14,27553.72,22.80,12.77,36.60,20.95,Denmark
2008,3.68,3.65,1.36,8.69,509.71,264.09,280.19,1053.99,155629.19,154575.20,138.43,72.36,206.74,121.33,90.27,87.72,96.38,89.09,90.45,5484.72,24788.60,0.48,0.25,0.27,0.00,0.00,0.00,0.01,0.42,0.42,0.16,5.10,99.96,51.79,54.95,206.71,30521.83,30315.12,27.15,14.19,40.55,23.80,Denmark
2009,3.38,3.58,1.24,8.21,492.52,262.96,263.85,1019.33,151718.41,150699.09,145.74,73.37,212.14,124.20,95.04,88.93,98.89,91.69,91.65,5501.00,23275.49,0.48,0.26,0.26,0.00,0.00,0.00,0.01,0.41,0.44,0.15,5.36,91.90,49.06,49.23,190.19,28308.75,28118.56,27.19,13.69,39.58,23.17,Denmark
2010,3.17,4.04,1.18,8.38,460.57,296.14,251.88,1008.59,155350.44,154341.85,145.44,73.37,213.22,120.30,94.84,88.93,99.40,91.69,93.76,5547.68,23512.63,0.46,0.29,0.25,0.00,0.00,0.00,0.01,0.38,0.48,0.14,5.62,81.93,52.68,44.81,179.41,27633.79,27454.38,25.87,13.05,37.93,21.40,Denmark
2011,3.13,4.15,1.24,8.52,465.15,301.68,262.69,1029.52,158745.10,157715.58,148.57,72.70,211.71,120.82,96.89,88.12,98.69,91.89,96.34,5570.57,23685.81,0.45,0.29,0.26,0.00,0.00,0.00,0.01,0.37,0.49,0.15,5.36,86.83,56.32,49.04,192.19,29633.62,29441.43,27.74,13.57,39.52,22.55,Denmark
2012,2.93,3.39,1.25,7.57,473.95,268.64,264.91,1007.51,162512.80,161505.29,161.55,79.32,211.49,133.03,105.35,96.14,98.59,99.20,98.67,5591.57,23442.24,0.47,0.27,0.26,0.00,0.00,0.00,0.01,0.39,0.45,0.17,5.79,81.86,46.40,45.75,174.01,28068.11,27894.10,27.90,13.70,36.53,22.98,Denmark
2013,2.90,3.58,1.31,7.79,471.46,292.67,280.24,1044.37,162903.61,161859.24,162.45,81.75,214.51,134.09,105.93,99.09,100.00,101.20,99.44,5613.71,23236.28,0.45,0.28,0.27,0.00,0.00,0.00,0.01,0.37,0.46,0.17,5.62,83.92,52.10,49.89,185.91,28998.00,28812.09,28.92,14.55,38.18,23.87,Denmark
2014,2.99,3.61,1.33,7.93,2669.19,3636.06,1306.61,7611.87,164078.37,156466.50,891.56,1007.90,984.70,960.09,100.00,100.00,100.00,100.00,100.00,5646.90,23351.12,0.35,0.48,0.17,0.02,0.02,0.01,0.05,0.38,0.46,0.17,5.62,475.03,647.11,232.54,1354.68,29200.90,27846.22,158.67,179.38,175.25,170.87,Denmark
1970,2.03,0.53,1.82,4.37,141.19,40.02,176.83,358.05,5452.24,5094.19,69.63,75.84,97.31,81.88,12.54,8.08,11.42,,11.50,4606.31,9576.87,0.39,0.11,0.49,0.03,0.01,0.03,0.07,0.46,0.12,0.42,, , , , , , , , , , ,Finland
1971,2.11,0.58,2.15,4.84,161.80,45.45,213.18,420.43,5933.06,5512.63,76.64,78.76,99.30,86.96,13.80,8.39,11.65,,12.24,4612.12,9764.70,0.38,0.11,0.51,0.03,0.01,0.04,0.07,0.44,0.12,0.44,4.21,38.44,10.80,50.64,99.87,1409.41,1309.54,18.21,18.71,23.59,20.66,Finland
1972,2.33,0.58,2.26,5.17,196.79,52.39,248.13,497.31,6935.34,6438.03,84.63,90.12,109.68,96.21,15.24,9.60,12.87,,13.11,4639.66,10447.54,0.40,0.11,0.50,0.03,0.01,0.04,0.07,0.45,0.11,0.44,4.16,47.34,12.60,59.70,119.65,1668.55,1548.91,20.36,21.68,26.39,23.15,Finland
1973,2.38,0.71,2.52,5.61,219.79,72.29,297.84,589.91,8192.03,7602.12,92.33,102.00,118.30,105.22,16.62,10.87,13.88,,14.56,4666.08,11085.11,0.37,0.12,0.50,0.03,0.01,0.04,0.07,0.42,0.13,0.45,3.81,57.65,18.96,78.13,154.75,2148.95,1994.21,24.22,26.76,31.03,27.60,Finland
1974,2.51,0.90,2.97,6.38,238.66,100.32,362.94,701.92,9906.20,9204.28,95.00,111.54,122.25,110.01,17.10,11.88,14.35,,16.98,4690.57,11361.30,0.34,0.14,0.52,0.02,0.01,0.04,0.07,0.39,0.14,0.47,3.76,63.40,26.65,96.42,186.47,2631.62,2445.15,25.24,29.63,32.48,29.22,Finland
1975,2.43,0.77,2.86,6.05,291.55,128.49,442.87,862.91,11761.41,10898.50,120.20,166.42,155.02,142.53,21.64,17.73,18.19,,20.01,4711.44,11441.30,0.34,0.15,0.51,0.02,0.01,0.04,0.07,0.40,0.13,0.47,3.67,79.55,35.06,120.84,235.45,3209.12,2973.67,32.80,45.41,42.30,38.89,Finland
1976,2.45,0.72,2.99,6.16,325.29,134.97,490.82,951.08,13404.36,12453.28,132.87,186.97,164.29,154.46,23.92,19.92,19.28,,22.88,4725.66,11358.40,0.34,0.14,0.52,0.02,0.01,0.04,0.07,0.40,0.12,0.49,3.86,84.37,35.01,127.31,246.69,3476.78,3230.09,34.46,48.50,42.61,40.06,Finland
1977,2.51,0.69,3.01,6.21,344.58,141.94,508.76,995.27,14769.26,13773.99,137.49,204.65,168.78,160.16,24.75,21.80,19.81,,25.77,4738.90,11354.53,0.35,0.14,0.51,0.02,0.01,0.03,0.07,0.40,0.11,0.49,4.01,85.84,35.36,126.75,247.95,3679.44,3431.49,34.25,50.99,42.05,39.90,Finland
1978,2.49,0.73,2.84,6.06,407.03,161.60,547.56,1116.19,16358.53,15242.34,163.36,222.07,192.71,184.17,29.41,23.66,22.62,,27.78,4752.53,11558.90,0.36,0.14,0.49,0.02,0.01,0.03,0.07,0.41,0.12,0.47,4.11,99.06,39.33,133.26,271.65,3981.15,3709.50,39.76,54.04,46.90,44.82,Finland
1979,2.55,0.72,2.77,6.04,461.66,174.33,608.99,1244.98,18603.15,17358.17,181.17,241.32,219.54,205.96,32.62,25.71,25.77,,29.86,4764.69,12331.55,0.37,0.14,0.49,0.02,0.01,0.03,0.07,0.42,0.12,0.46,3.89,118.72,44.83,156.61,320.16,4784.02,4463.86,46.59,62.06,56.46,52.97,Finland
1980,2.60,0.74,2.81,6.15,518.26,188.87,673.35,1380.48,21075.31,19694.83,199.49,254.83,239.28,224.35,35.91,27.15,28.08,,33.32,4779.54,12948.96,0.38,0.14,0.49,0.02,0.01,0.03,0.07,0.42,0.12,0.46,3.72,139.30,50.76,180.98,371.04,5664.49,5293.46,53.62,68.49,64.31,60.30,Finland
1981,2.59,0.85,2.79,6.23,600.25,225.21,732.04,1557.50,23795.21,22237.71,231.36,263.65,262.79,249.83,41.65,28.09,30.84,,37.32,4799.96,13134.06,0.39,0.14,0.47,0.03,0.01,0.03,0.07,0.42,0.14,0.45,4.31,139.18,52.22,169.74,361.13,5517.35,5156.21,53.64,61.13,60.93,57.93,Finland
1982,2.54,0.78,2.85,6.17,667.01,246.80,839.00,1752.82,26730.64,24977.82,262.82,317.81,294.18,284.25,47.32,33.86,34.53,,40.89,4826.93,13484.75,0.38,0.14,0.48,0.02,0.01,0.03,0.07,0.41,0.13,0.46,4.81,138.71,51.33,174.48,364.52,5558.92,5194.41,54.66,66.09,61.18,59.11,Finland
